Id,Beds,Baths,ListingType,Area,PopulationLatest,Schools,Colleges,Universities,Ameneties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAverage
M73000004-26145239,4,6,Single Family,3858,213759,11,1,0,37,31,Oakville,2300000.0,953919.0,A
M73000004-26145249,3,3,Single Family,2871,138479,23,0,0,104,61,Cambridge,999999.0,601135.0,A
M73000004-26145263,1,1,Condo,647,147829,5,0,0,42,14,Barrie,444888.0,584311.0,B
M73000004-26145265,3,2,Single Family,2180,14576,1,0,0,0,0,Severn,649000.0,934056.0,B
M73000004-26145266,2,1,Single Family,1014,11372,9,0,0,5,19,Elliot Lake,251900.0,209250.0,A
M73000004-26145274,4,1,Single Family,1000,1206,3,0,0,3,4,Ignace,123725.0,174443.0,B
M73000004-26145275,3,1,Single Family,1400,108843,6,0,0,40,30,Thunder Bay,294100.0,432568.0,B
M73000004-26145305,3,3,Rental,1765,422324,5,0,0,8,26,London,2950.0,691690.0,B
M73000004-26145319,4,4,Single Family,3203,32901,0,0,0,0,0,Fort Erie,1599900.0,669720.0,A
M73000004-26145330,3,2,Single Family,1700,656480,17,1,0,70,33,Brampton,729900.0,597778.0,A
M73000004-26145373,1,1,Condo,631,147829,7,0,0,115,28,Barrie,404000.0,584311.0,B
M73000004-26145380,2,1,Single Family,682,1206,3,0,0,3,4,Ignace,95000.0,174443.0,B
M73000004-26145381,2,1,Single Family,682,1206,3,0,0,3,4,Ignace,85000.0,174443.0,B
M73000004-26145399,2,1,Rental,805,143740,10,0,0,21,32,Guelph,2150.0,640614.0,B
M73000004-26145400,5,5,Rental,2169,121436,10,0,0,18,31,Waterloo,4200.0,527104.0,B
M73000004-26145445,3,2,Single Family,1380,55750,5,0,0,50,29,Welland,607900.0,479693.0,A
M73000004-26145498,3,3,Single Family,1261,28883,7,0,0,26,28,Grimsby,800000.0,754703.0,A
M73000004-26145502,3,1,Rental,816,104688,29,1,0,59,38,Brantford,2475.0,615780.0,B
M73000004-26145507,1,1,Rental,599,186948,9,0,0,15,39,Burlington,2200.0,1085058.0,B
M73000004-26145552,5,4,Single Family,2550,229660,37,1,1,37,83,Windsor,1124999.0,428016.0,A
M73000004-26145553,5,4,Single Family,3198,22119,4,0,0,28,26,Kingsville,1799900.0,801783.0,A
M73000004-26145589,0,1,Rental,264,104688,17,1,0,54,26,Brantford,1650.0,615780.0,B
M73000004-26145710,2,2,Single Family,1414,17305,0,0,0,0,0,Bracebridge,620000.0,1197393.0,B
M73000004-26145790,2,1,Rental,649,256885,38,0,0,140,92,Kitchener,2100.0,437374.0,B
M73000004-26145882,6,3,Multi-Family,1600,132485,17,1,1,32,48,Kingston,849900.0,713186.0,A
M73000004-26145987,4,5,Single Family,2307,136803,40,0,1,175,54,St. Catharines,1623813.0,648367.0,A
M73000004-26146005,5,5,Single Family,2850,23816,0,0,0,0,0,Thorold,999900.0,583404.0,A
M73000004-26146006,3,3,Single Family,3258,6887,0,0,0,0,0,Wainfleet,1599000.0,1175583.0,A
M73000004-26146007,2,3,Single Family,955,24811,4,0,0,46,18,Collingwood,560000.0,616427.0,B
M73000004-26146031,3,3,Single Family,1562,72051,0,0,0,0,0,Sault Ste. Marie,898000.0,425953.0,A
M73000004-26146069,5,4,Single Family,3215,213759,1,0,0,58,2,Oakville,4558800.0,953919.0,A
M73000004-26146070,3,1,Single Family,1173,11059,7,0,1,23,9,Hamilton,759833.0,543702.0,A
M73000004-26146081,3,4,Condo,2059,422324,59,1,1,219,86,London,649900.0,691690.0,B
M73000004-26146092,2,1,Single Family,850,55750,6,0,0,31,28,Welland,429000.0,479693.0,B
M73000004-26146093,4,2,Single Family,1210,55750,15,1,0,65,43,Welland,615000.0,479693.0,A
M73000004-26146095,2,1,Rental,784,24811,5,0,0,53,16,Collingwood,2200.0,616427.0,B
M73000004-26146105,6,4,Single Family,2173,11059,4,0,0,12,13,Hamilton,1179000.0,543702.0,A
M73000004-26146112,4,2,Single Family,1103,11059,13,1,0,41,16,Hamilton,999000.0,543702.0,A
M73000004-26146118,4,2,Single Family,1200,11059,3,1,0,50,14,Hamilton,720000.0,543702.0,A
M73000004-26146213,47,16,Multi-Family,14000,143740,10,0,0,18,33,Guelph,3500000.0,640614.0,A
M73000004-26146218,4,3,Single Family,803,62057,8,0,0,43,26,Aurora,985000.0,1019239.0,B
M73000004-26146243,2,1,Rental,760,422324,8,0,0,58,28,London,2000.0,691690.0,B
M73000004-26146244,2,1,Rental,750,422324,8,0,0,58,28,London,2000.0,691690.0,B
M73000004-26146246,4,2,Single Family,1976,422324,43,0,1,312,91,London,789000.0,691690.0,A
M73000004-26146270,7,3,Multi-Family,1179,147829,7,0,0,63,34,Barrie,889000.0,584311.0,A
M73000004-26146280,3,2,Single Family,1050,32901,0,0,0,0,0,Fort Erie,603636.0,669720.0,B
M73000004-26146284,2,2,Single Family,1182,24811,1,0,0,14,7,Collingwood,695000.0,616427.0,A
M73000004-26146295,3,1,Single Family,1042,46705,1,0,0,2,7,Woodstock,474900.0,659229.0,B
M73000004-26146297,4,4,Single Family,3300,143740,0,0,0,0,0,Guelph,1750000.0,640614.0,A
M73000004-26146345,3,2,Single Family,1840,21612,2,1,0,30,23,Owen Sound,503222.0,562010.0,B
M73000004-26146354,4,5,Single Family,4202,213759,20,1,0,164,39,Oakville,4807696.0,953919.0,A
M73000004-26146384,5,2,Single Family,1179,147829,7,0,0,63,34,Barrie,889000.0,584311.0,A
M73000004-26146427,1,1,Rental,500,11485,2,0,0,15,16,Meaford,1800.0,894860.0,B
M73000004-26146483,4,2,Single Family,1043,11059,4,0,0,30,11,Hamilton,689900.0,543702.0,A
M73000004-26146485,3,2,Rental,1320,11059,13,0,0,48,30,Hamilton,2900.0,543702.0,B
M73000004-26146565,3,3,Condo,1137,9390,0,0,0,26,69,The Blue Mountains,742000.0,1066799.0,B
M73000004-26146567,4,1,Single Family,1200,5383,0,0,0,0,0,Gananoque,637154.0,833946.0,B
M73000004-26146582,0,0,Multi-Family,1497,138479,6,0,0,18,15,Cambridge,549900.0,601135.0,B
M73000004-26146585,3,3,Rental,1647,55750,8,1,0,7,30,Welland,2200.0,479693.0,B
M73000004-26146586,1,2,Condo,782,11059,5,0,0,53,19,Hamilton,442117.0,543702.0,B
M73000004-26146638,2,2,Condo,797,24811,3,0,0,26,32,Collingwood,9000.0,616427.0,B
M73000004-26146639,2,2,Condo,912,9390,0,0,0,26,69,The Blue Mountains,629900.0,1066799.0,B
